epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,229.04,0.08904,1,1,0.00043,0.000553967,0.000553967,0.000553967
2,387.435,0.0001,1,1,9e-05,0.00108766,0.00108766,0.00108766
3,549.728,2e-05,1,1,2e-05,0.00159935,0.00159935,0.00159935
4,718.548,1e-05,1,1,1e-05,0.00156798,0.00156798,0.00156798
5,881.228,1e-05,1,1,1e-05,0.00153497,0.00153497,0.00153497
6,1041.06,0,1,1,0,0.00150197,0.00150197,0.00150197
7,1239.68,0,1,1,0,0.00146896,0.00146896,0.00146896
8,1424.48,0,1,1,0,0.00143595,0.00143595,0.00143595
9,1583.36,0,1,1,0,0.00140295,0.00140295,0.00140295
10,1753.09,0,1,1,0,0.00136994,0.00136994,0.00136994
11,1921.04,0,1,1,0,0.00133693,0.00133693,0.00133693
12,2092.12,0,1,1,0,0.00130393,0.00130393,0.00130393
13,2250.59,0,1,1,0,0.00127092,0.00127092,0.00127092
14,2415.17,0,1,1,0,0.00123791,0.00123791,0.00123791
15,2595.99,0,1,1,0,0.00120491,0.00120491,0.00120491
16,2765.4,0,1,1,0,0.0011719,0.0011719,0.0011719
17,2954.21,0,1,1,0,0.00113889,0.00113889,0.00113889
18,3135.52,0,1,1,0,0.00110589,0.00110589,0.00110589
19,3332.26,0,1,1,0,0.00107288,0.00107288,0.00107288
20,3566.98,0,1,1,0,0.00103987,0.00103987,0.00103987
21,3769.85,0,1,1,0,0.00100687,0.00100687,0.00100687
22,3955,0,1,1,0,0.000973861,0.000973861,0.000973861
23,4115.21,0,1,1,0,0.000940855,0.000940855,0.000940855
24,4282.46,0,1,1,0,0.000907848,0.000907848,0.000907848
25,4471.41,0,1,1,0,0.000874842,0.000874842,0.000874842
26,4663.19,0,1,1,0,0.000841835,0.000841835,0.000841835
27,4851.33,0,1,1,0,0.000808828,0.000808828,0.000808828
28,5060.51,0,1,1,0,0.000775822,0.000775822,0.000775822
29,5253.67,0,1,1,0,0.000742815,0.000742815,0.000742815
30,5438.33,0,1,1,0,0.000709809,0.000709809,0.000709809
31,5638.11,0,1,1,0,0.000676802,0.000676802,0.000676802
32,5952.22,0,1,1,0,0.000643795,0.000643795,0.000643795
33,6229.7,0,1,1,0,0.000610789,0.000610789,0.000610789
34,6441.47,0,1,1,0,0.000577782,0.000577782,0.000577782
35,6723.97,0,1,1,0,0.000544776,0.000544776,0.000544776
36,6993.65,0,1,1,0,0.000511769,0.000511769,0.000511769
37,7221.12,0,1,1,0,0.000478762,0.000478762,0.000478762
38,7450.63,0,1,1,0,0.000445756,0.000445756,0.000445756
39,7641.59,0,1,1,0,0.000412749,0.000412749,0.000412749
40,7875.43,0,1,1,0,0.000379743,0.000379743,0.000379743
41,8072.43,0,1,1,0,0.000346736,0.000346736,0.000346736
42,8302.12,0,1,1,0,0.000313729,0.000313729,0.000313729
43,8532.77,0,1,1,0,0.000280723,0.000280723,0.000280723
44,8785.8,0,1,1,0,0.000247716,0.000247716,0.000247716
45,8984.23,0,1,1,0,0.00021471,0.00021471,0.00021471
46,9153.6,0,1,1,0,0.000181703,0.000181703,0.000181703
47,9330.64,0,1,1,0,0.000148696,0.000148696,0.000148696
48,9541.55,0,1,1,0,0.00011569,0.00011569,0.00011569
49,9882.07,0,1,1,0,8.26832e-05,8.26832e-05,8.26832e-05
50,10045.4,0,1,1,0,4.96766e-05,4.96766e-05,4.96766e-05
