epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,154.411,1.02028,0.96552,1,0.13363,0.000276454,0.000276454,0.000276454
2,311.878,0.23321,0.97126,1,0.09292,0.000543149,0.000543149,0.000543149
3,462.095,0.22115,0.95977,1,0.14154,0.000798849,0.000798849,0.000798849
4,596.074,0.19519,0.97701,1,0.05867,0.00078352,0.00078352,0.00078352
5,736.212,0.18504,0.9751,0.99808,0.08064,0.000767026,0.000767026,0.000767026
6,873.311,0.14667,0.97893,1,0.08687,0.000750533,0.000750533,0.000750533
7,1006.65,0.12778,0.98659,1,0.05103,0.00073404,0.00073404,0.00073404
8,1147.47,0.11464,0.96169,1,0.09695,0.000717546,0.000717546,0.000717546
9,1289.4,0.09249,0.9751,1,0.07563,0.000701053,0.000701053,0.000701053
10,1455.94,0.07029,0.98659,1,0.06065,0.000684559,0.000684559,0.000684559
11,1659.17,0.07834,0.98659,1,0.05579,0.000668066,0.000668066,0.000668066
12,1892.96,0.10404,0.99425,1,0.03326,0.000651573,0.000651573,0.000651573
13,2089.72,0.05843,0.99042,1,0.04582,0.000635079,0.000635079,0.000635079
14,2260.21,0.06612,0.99042,1,0.05087,0.000618586,0.000618586,0.000618586
15,2437.43,0.0575,0.99425,0.99808,0.03157,0.000602092,0.000602092,0.000602092
16,2616.3,0.04624,0.98659,1,0.05922,0.000585599,0.000585599,0.000585599
17,2766.11,0.04708,0.99234,1,0.02629,0.000569106,0.000569106,0.000569106
18,2939.66,0.06165,0.98084,1,0.04337,0.000552612,0.000552612,0.000552612
19,3113.75,0.05999,0.99234,1,0.0383,0.000536119,0.000536119,0.000536119
20,3281.3,0.05341,0.99042,1,0.03246,0.000519625,0.000519625,0.000519625
21,3582.92,0.04779,0.99042,1,0.05577,0.000503132,0.000503132,0.000503132
22,3775.05,0.04078,0.99425,1,0.03864,0.000486639,0.000486639,0.000486639
23,4019.06,0.03875,0.99617,1,0.03995,0.000470145,0.000470145,0.000470145
24,4239.09,0.03565,0.99234,1,0.04957,0.000453652,0.000453652,0.000453652
25,4413.61,0.03297,0.99617,1,0.04274,0.000437158,0.000437158,0.000437158
26,4589.09,0.02901,0.99617,1,0.05102,0.000420665,0.000420665,0.000420665
27,4769.71,0.02006,0.99808,1,0.03469,0.000404172,0.000404172,0.000404172
28,4936.62,0.0283,0.99617,1,0.0263,0.000387678,0.000387678,0.000387678
29,5162.72,0.02787,0.99425,1,0.03984,0.000371185,0.000371185,0.000371185
30,5321.84,0.02905,0.99617,1,0.03141,0.000354691,0.000354691,0.000354691
31,5478.47,0.02329,0.99617,1,0.04545,0.000338198,0.000338198,0.000338198
32,5673.67,0.0165,0.99425,1,0.03825,0.000321705,0.000321705,0.000321705
33,5864.11,0.01264,0.99425,1,0.04215,0.000305211,0.000305211,0.000305211
34,6095.6,0.01218,0.99617,1,0.0394,0.000288718,0.000288718,0.000288718
35,6355.15,0.01158,0.99425,1,0.06765,0.000272224,0.000272224,0.000272224
36,6543.98,0.01744,0.99425,1,0.05935,0.000255731,0.000255731,0.000255731
37,6735.26,0.01646,0.99617,1,0.03341,0.000239238,0.000239238,0.000239238
38,6919,0.02001,0.99617,1,0.04521,0.000222744,0.000222744,0.000222744
39,7100.59,0.01543,0.99234,1,0.04444,0.000206251,0.000206251,0.000206251
40,7289.69,0.01386,0.99617,1,0.03418,0.000189757,0.000189757,0.000189757
41,7464.52,0.01022,0.99617,1,0.0434,0.000173264,0.000173264,0.000173264
42,7597.77,0.00964,0.99617,1,0.04869,0.000156771,0.000156771,0.000156771
43,7764.24,0.00741,0.99617,1,0.04617,0.000140277,0.000140277,0.000140277
44,7900.27,0.0117,0.99425,1,0.04321,0.000123784,0.000123784,0.000123784
45,8063.48,0.01086,0.99425,1,0.04351,0.00010729,0.00010729,0.00010729
46,8228.83,0.01172,0.99425,1,0.04004,9.0797e-05,9.0797e-05,9.0797e-05
47,8394.06,0.01443,0.99425,1,0.03998,7.43036e-05,7.43036e-05,7.43036e-05
48,19978.3,0.00941,0.99617,1,0.03932,5.78102e-05,5.78102e-05,5.78102e-05
49,20186.1,0.01208,0.99617,1,0.061,4.13168e-05,4.13168e-05,4.13168e-05
50,20369.3,0.00815,0.99425,1,0.03737,2.48234e-05,2.48234e-05,2.48234e-05
