epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.24155,1.55126,0.25,1,1.44377,1.25e-05,1.25e-05,1.25e-05
2,4.90908,1.50477,0.25,1,1.41809,3.67575e-05,3.67575e-05,3.67575e-05
3,6.23452,1.48109,0.25,1,1.39346,6.0025e-05,6.0025e-05,6.0025e-05
4,7.55227,1.35894,0.25,1,1.34127,8.23025e-05,8.23025e-05,8.23025e-05
5,8.86102,1.20376,0.5,1,1.21502,0.00010359,0.00010359,0.00010359
6,10.2343,1.05079,0.75,1,1.03681,0.000123888,0.000123888,0.000123888
7,11.5239,0.78057,0.75,1,0.85529,0.000143195,0.000143195,0.000143195
8,12.8943,0.73457,1,1,0.67229,0.000161513,0.000161513,0.000161513
9,14.282,0.45658,1,1,0.59579,0.00017884,0.00017884,0.00017884
10,15.8568,0.52081,1,1,0.50571,0.000195178,0.000195178,0.000195178
11,17.3005,0.49799,1,1,0.40736,0.000210525,0.000210525,0.000210525
12,18.692,0.41203,1,1,0.32279,0.000224883,0.000224883,0.000224883
13,20.1121,0.36605,1,1,0.25892,0.00023825,0.00023825,0.00023825
14,21.4824,0.19781,1,1,0.20601,0.000250627,0.000250627,0.000250627
15,22.8122,0.24473,1,1,0.16848,0.000262015,0.000262015,0.000262015
16,24.1405,0.35836,1,1,0.13834,0.000272412,0.000272412,0.000272412
17,25.5324,0.13363,1,1,0.11039,0.00028182,0.00028182,0.00028182
18,26.9679,0.18418,1,1,0.09259,0.000290237,0.000290237,0.000290237
19,28.3603,0.17773,1,1,0.0707,0.000297665,0.000297665,0.000297665
20,29.7506,0.08349,1,1,0.05762,0.000304103,0.000304103,0.000304103
21,31.1381,0.08942,1,1,0.05097,0.00030955,0.00030955,0.00030955
22,32.5072,0.1056,1,1,0.0482,0.000314008,0.000314008,0.000314008
23,33.9309,0.03934,1,1,0.04451,0.000317475,0.000317475,0.000317475
24,35.1963,0.04593,1,1,0.03676,0.000319953,0.000319953,0.000319953
25,36.7328,0.024,1,1,0.04102,0.00032144,0.00032144,0.00032144
26,38.193,0.04932,1,1,0.02965,0.000321938,0.000321938,0.000321938
27,39.4967,0.02225,1,1,0.02787,0.000321445,0.000321445,0.000321445
28,40.7727,0.03349,1,1,0.02787,0.000319962,0.000319962,0.000319962
29,42.8526,0.0948,1,1,0.02226,0.00031749,0.00031749,0.00031749
30,45.0217,0.01305,1,1,0.02158,0.000314028,0.000314028,0.000314028
31,46.8265,0.01706,1,1,0.02158,0.000309575,0.000309575,0.000309575
32,48.8318,0.08958,1,1,0.02083,0.000304132,0.000304132,0.000304132
33,50.771,0.01385,1,1,0.01476,0.0002977,0.0002977,0.0002977
34,52.4292,0.00681,1,1,0.01476,0.000290277,0.000290277,0.000290277
35,53.9552,0.01164,1,1,0.01411,0.000281865,0.000281865,0.000281865
36,55.5923,0.02437,1,1,0.01164,0.000272463,0.000272463,0.000272463
37,57.2136,0.00582,1,1,0.01164,0.00026207,0.00026207,0.00026207
38,58.5441,0.00551,1,1,0.01236,0.000250687,0.000250687,0.000250687
39,59.9091,0.13525,1,1,0.01502,0.000238315,0.000238315,0.000238315
40,61.1614,0.02583,1,1,0.01502,0.000224952,0.000224952,0.000224952
41,62.5704,0.00722,1,1,0.01447,0.0002106,0.0002106,0.0002106
42,63.9742,0.01175,1,1,0.01204,0.000195258,0.000195258,0.000195258
43,65.3529,0.00716,1,1,0.01204,0.000178925,0.000178925,0.000178925
44,66.674,0.00481,1,1,0.01418,0.000161603,0.000161603,0.000161603
45,67.9454,0.01099,1,1,0.01418,0.00014329,0.00014329,0.00014329
46,69.1609,0.01344,1,1,0.01562,0.000123987,0.000123987,0.000123987
47,70.3143,0.00795,1,1,0.01562,0.000103695,0.000103695,0.000103695
48,71.5307,0.00589,1,1,0.01739,8.24125e-05,8.24125e-05,8.24125e-05
49,72.7959,0.00793,1,1,0.01739,6.014e-05,6.014e-05,6.014e-05
50,74.1255,0.00708,1,1,0.01651,3.68775e-05,3.68775e-05,3.68775e-05
