epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.85546,4.66623,0,0.03896,4.86458,2.185e-05,2.185e-05,2.185e-05
2,3.09118,4.50133,0,0.07792,4.70052,4.37659e-05,4.37659e-05,4.37659e-05
3,4.2116,4.2747,0,0.11688,4.57812,6.4779e-05,6.4779e-05,6.4779e-05
4,5.30327,4.02525,0.01299,0.20779,4.44271,8.48892e-05,8.48892e-05,8.48892e-05
5,6.37602,3.77588,0.01299,0.24675,4.19531,8.7476e-05,8.7476e-05,8.7476e-05
6,7.53425,3.6048,0.02597,0.27273,4.15234,8.5595e-05,8.5595e-05,8.5595e-05
7,8.66325,3.44001,0.03896,0.2987,4.15951,8.3714e-05,8.3714e-05,8.3714e-05
8,9.76894,3.2706,0.05195,0.32468,3.96224,8.1833e-05,8.1833e-05,8.1833e-05
9,10.8936,3.15669,0.06494,0.33766,3.94271,7.9952e-05,7.9952e-05,7.9952e-05
10,12.0045,3.00695,0.09091,0.37662,4.03906,7.8071e-05,7.8071e-05,7.8071e-05
11,13.1115,2.94543,0.09091,0.38961,3.8776,7.619e-05,7.619e-05,7.619e-05
12,14.2104,2.85313,0.11688,0.37662,3.92643,7.4309e-05,7.4309e-05,7.4309e-05
13,15.2487,2.74532,0.1039,0.38961,3.87435,7.2428e-05,7.2428e-05,7.2428e-05
14,16.3447,2.67773,0.12987,0.37662,3.92969,7.0547e-05,7.0547e-05,7.0547e-05
15,17.4834,2.61282,0.09091,0.35065,4.03516,6.8666e-05,6.8666e-05,6.8666e-05
