epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.90645,1.55126,0.25,1,1.44377,1.25e-05,1.25e-05,1.25e-05
2,5.79326,1.50477,0.25,1,1.41809,3.67575e-05,3.67575e-05,3.67575e-05
3,7.93955,1.48109,0.25,1,1.39346,6.0025e-05,6.0025e-05,6.0025e-05
4,9.90898,1.35894,0.25,1,1.34127,8.23025e-05,8.23025e-05,8.23025e-05
5,11.8387,1.20376,0.5,1,1.21502,0.00010359,0.00010359,0.00010359
6,13.6805,1.05079,0.75,1,1.03681,0.000123888,0.000123888,0.000123888
7,15.6282,0.78057,0.75,1,0.85529,0.000143195,0.000143195,0.000143195
8,17.39,0.73457,1,1,0.67229,0.000161513,0.000161513,0.000161513
9,19.6664,0.45658,1,1,0.59579,0.00017884,0.00017884,0.00017884
10,21.5053,0.52081,1,1,0.50571,0.000195178,0.000195178,0.000195178
11,23.2772,0.49799,1,1,0.40736,0.000210525,0.000210525,0.000210525
12,24.9626,0.41203,1,1,0.32279,0.000224883,0.000224883,0.000224883
13,26.4783,0.36605,1,1,0.25892,0.00023825,0.00023825,0.00023825
14,27.997,0.19781,1,1,0.20601,0.000250627,0.000250627,0.000250627
15,29.5543,0.24473,1,1,0.16848,0.000262015,0.000262015,0.000262015
16,31.3018,0.35836,1,1,0.13834,0.000272412,0.000272412,0.000272412
17,32.8184,0.13363,1,1,0.11039,0.00028182,0.00028182,0.00028182
18,34.3936,0.18418,1,1,0.09259,0.000290237,0.000290237,0.000290237
19,35.985,0.17773,1,1,0.0707,0.000297665,0.000297665,0.000297665
20,37.8239,0.08349,1,1,0.05762,0.000304103,0.000304103,0.000304103
21,39.4096,0.08942,1,1,0.05097,0.00030955,0.00030955,0.00030955
22,40.8722,0.1056,1,1,0.0482,0.000314008,0.000314008,0.000314008
23,42.3836,0.03934,1,1,0.04451,0.000317475,0.000317475,0.000317475
24,44.0177,0.04593,1,1,0.03676,0.000319953,0.000319953,0.000319953
25,45.4988,0.024,1,1,0.04102,0.00032144,0.00032144,0.00032144
26,47.0833,0.04932,1,1,0.02965,0.000321938,0.000321938,0.000321938
27,49.2913,0.02225,1,1,0.02787,0.000321445,0.000321445,0.000321445
28,51.3054,0.03349,1,1,0.02787,0.000319962,0.000319962,0.000319962
29,53.0852,0.0948,1,1,0.02226,0.00031749,0.00031749,0.00031749
30,54.6743,0.01305,1,1,0.02158,0.000314028,0.000314028,0.000314028
31,56.1853,0.01706,1,1,0.02158,0.000309575,0.000309575,0.000309575
32,57.825,0.08958,1,1,0.02083,0.000304132,0.000304132,0.000304132
33,59.5007,0.01385,1,1,0.01476,0.0002977,0.0002977,0.0002977
34,61.1263,0.00681,1,1,0.01476,0.000290277,0.000290277,0.000290277
35,62.7134,0.01164,1,1,0.01411,0.000281865,0.000281865,0.000281865
36,64.3678,0.02437,1,1,0.01164,0.000272463,0.000272463,0.000272463
37,65.8902,0.00582,1,1,0.01164,0.00026207,0.00026207,0.00026207
38,67.6036,0.00551,1,1,0.01236,0.000250687,0.000250687,0.000250687
39,69.183,0.13525,1,1,0.01502,0.000238315,0.000238315,0.000238315
40,70.8238,0.02583,1,1,0.01502,0.000224952,0.000224952,0.000224952
41,72.4645,0.00722,1,1,0.01447,0.0002106,0.0002106,0.0002106
42,74.2891,0.01175,1,1,0.01204,0.000195258,0.000195258,0.000195258
43,75.8656,0.00716,1,1,0.01204,0.000178925,0.000178925,0.000178925
44,77.6717,0.00481,1,1,0.01418,0.000161603,0.000161603,0.000161603
45,79.2659,0.01099,1,1,0.01418,0.00014329,0.00014329,0.00014329
46,81.0195,0.01344,1,1,0.01562,0.000123987,0.000123987,0.000123987
47,82.8287,0.00795,1,1,0.01562,0.000103695,0.000103695,0.000103695
48,84.4586,0.00589,1,1,0.01739,8.24125e-05,8.24125e-05,8.24125e-05
49,86.1482,0.00793,1,1,0.01739,6.014e-05,6.014e-05,6.014e-05
50,87.8999,0.00708,1,1,0.01651,3.68775e-05,3.68775e-05,3.68775e-05
